,product_id,product_name,aisle_id,department_id,suggested_products,suggested_prod_id,suggested_department,suggested_aisle
15,16,mint flavored syrup,103,19,"mint dental floss,temples green mint,sugar mint patties,scooby doo flavored snacks,orange flavored sports drink","[560,382,115,815,,16]","[,7,19,19,,7,19]","[,94,,45,,50,,64,103]"
16,17,rendered duck fat,35,12,"greek 100 calories fat,traditional no fat refried beans,98 fat of soup,non fat on the bottom greek,plain fat","[703,621,264,953,,17]","[15,15,16,16,12]","[,59,,69,120,120,,35]"
17,18,pizza for one suprema frozen pizza,79,1,"pepperoni party pizza,gluten rustica pizza,stuffed crust five pizza,ristorante pizza spinaci thin crust pizza,four pizza frozen sandwiches","[414,269,356,735,,18]","[1,1,1,1,1]","[,79,,79,,79,129,,79]"
18,19,gluten quinoa three mushroom blend,63,9,"mache blend,porcini mushroom risotto,california blend,fiber blend,gluten muffin","[685,634,767,235,,19]","[,9,,1,,1,13,,9]","[,,4,116,116,105,,63]"
19,20,pomegranate cranberry aloe vera enrich drink,98,7,"strawberry pomegranate,pomegranate coconut sparkling probiotic drink,pomegranate,cucumber witch hazel aloe vera,peach aloe vera drink","[858,584,984,677,,20]","[,7,16,11,,7,,7]","[,31,120,109,,98,,98]"
20,21,small medium dental dog treats,40,8,"mint dental floss,adult dog formula dog food,snack sticks rice recipe dog treats,gourmet dog treats bone,meatballs dog treats","[531,722,302,236,,21]","[8,8,8,8,8]","[40,40,40,40,40]"
21,22,fresh breath oral rinse mild mint,20,11,"temples green mint,sugar mint patties,fresh oj,mild salsa divino,shredded mild cheddar","[382,628,107,781,,22]","[19,,7,13,16,11]","[45,98,51,21,20]"
22,23,turkey burgers,49,12,"low sodium turkey,ground turkey chub,turkey chili,original turkey,turkey","[118,554,176,287,,23]","[,1,20,20,20,12]","[34,,1,96,96,49]"
23,24,tri vi solâ vitamins a c and d supplement drops for infants,47,11,"fiber 4g gummy dietary supplement,pain reliever and fever reducer cherry infant drops,calcium adult gummy vitamins orange cherry strawberry,propolis herbal supplement,tri color tortilla strips","[759,159,272,539,,24]","[11,11,11,13,11]","[11,47,47,89,47]"
24,25,salted caramel lean protein fiber,3,19,"protein,frozen desserts fit salted caramel,caramel,salted,salted caramel ice","[502,275,651,606,,25]","[,1,19,16,,1,19]","[,37,103,,36,,37,,,3]"
25,26,fancy feast trout feast flaked wet cat food,41,8,"liver patã canned cat food,brown rice formula cat food,sliced entree cat food,cat food premium adult cat formula,four bean feast baby food","[597,442,848,744,,26]","[,8,,8,,8,18,,8]","[41,41,41,92,41]"
26,27,complete spring water foaming antibacterial hand wash,127,11,"ultra antibacterial dish liquid,european style spring,antibacterial pomegranate tangerine hand soap moisturizer,foaming hand soap kid watermelon,ultra concentrated antibacterial hand soap lemon scent dishwashing liquid","[,66,689,224,662,,27]","[,4,11,17,17,11]","[123,127,114,,74,127]"
27,28,wheat chex cereal,121,14,"wheat tortillas,smorz cereal,cheerios cereal,peanut cereal,cheddar chex","[,90,365,,34,955,,28]","[14,14,14,19,14]","[121,121,121,125,121]"
28,29,fresh cut golden sweet no salt added kernel corn,81,15,"blue corn sea salt tortilla chips,style corn,wild albacore tuna no salt added,sardines water salt added,fresh cut specialties cut golden wax beans","[664,,79,425,799,,29]","[15,15,,6,15,15]","[81,95,33,81,81]"
29,30,three ziti marinara meatballs,38,1,"creations four,complete health deboned meal and rice cat food,spicy heirloom marinara,wild sardines marinara,meatballs dog treats","[342,284,187,236,,30]","[,8,,9,15,,8,,1]","[41,,9,95,40,38]"
30,31,white pearl onions,123,4,"nacho white bean chips,crispy thin crust white pizza,white writing gel,pearl active duopack tampons,white chili","[926,357,897,448,,31]","[,1,13,11,15,,4]","[,79,,97,126,,59,123]"
31,32,nacho white bean chips,107,19,"rice bean snack chips adzuki beans chipotle,white chili,bean threads,simply beyond black bean tortilla chips,nacho grain tortilla chips","[448,741,180,768,,32]","[15,,6,19,21,19]","[,59,,66,107,100,107]"
32,33,spaghetti style pasta,131,9,"style corn,linguine no 7 pasta,linguine pasta,thick zesty spaghetti,multigrain spaghetti style pasta","[972,424,600,375,,33]","[,9,,9,13,,9,,9]","[131,131,104,131,131]"
33,34,peanut cereal,121,14,"cheerios cereal,smorz cereal,peanut chip,peanut bars,multigrain peanut cereal","[,90,883,985,637,,34]","[14,19,19,14,14]","[121,,,3,,,3,121,121]"
34,35,italian herb porcini mushrooms sausage,106,12,"italian pasta salad,herb thyme clamshell,sausage gravy biscuit,porcini mushroom risotto,thick cut italian 7 herb blend crispbreads","[199,688,685,841,,35]","[,4,,1,,9,19,12]","[,16,,52,,,4,,78,106]"
35,36,traditional lasagna meat savory italian recipes,38,1,"italian pasta salad,traditional red miso,traditional water crackers,traditional tartar,vegetarian grain meat sausages italian 4 ct","[854,145,562,,49,,36]","[,6,19,21,20,,1]","[,66,,78,100,,14,,38]"
36,37,noodle soup broth,69,15,"classic culinary low sodium vegetable broth,3rd foods noodle dinner,unsalted beef broth,habanero lime shrimp flavor ramen noodle soup,chunky classic noodle soup","[817,963,173,928,,37]","[18,15,,9,15,15]","[92,69,,4,69,69]"
37,38,ultra antibacterial dish liquid,100,21,"automatic dish packs lemon verbena scent,ibuprofen liquid gels,ultra filtered,ultra thin pastrami,ultra concentrated antibacterial hand soap lemon scent dishwashing liquid","[455,877,403,662,,38]","[11,16,20,17,21]","[133,,84,,96,,74,100]"
38,39,daily tangerine citrus flavored beverage,64,7,"orange flavored sports drink,kind prenatal once daily,geranium daily soap,daily moisture shampoo,mint flavored syrup","[,91,586,498,,16,,39]","[11,11,11,19,,7]","[,47,,25,,22,103,,64]"
39,40,beef hot links beef smoked sausage chile peppers,106,12,"100 pure beef homestyle patties,old fashioned vegetable beef soup,sausage smoked sweet german brand,uncured cracked pepper beef,unsalted beef broth","[466,995,,93,963,,40]","[15,12,19,15,12]","[,69,106,,23,,69,106]"
40,41,sourdough einkorn crackers rosemary,78,19,"minis original saltine crackers,water crackers original all natural,supreme pretzel crackers,foldit flatbreads artisan rosemary olive oil,traditional water crackers","[363,615,660,145,,41]","[19,19,,3,19,19]","[,78,107,128,,78,,78]"
41,42,biotin 1000 mcg,47,11,"vitamin d3 1000 i u vegetable capsules,biotin 10 000mcg maximum strength,restorative biotin conditioner,biotin collagen shampoo,biotin super strength 7500 mcg tablets","[301,730,523,656,,42]","[11,11,11,11,11]","[47,22,22,47,47]"
42,43,clementines,123,4,"creamline wild,eco pac kamut puffs cereal,creations four,grassmilk,apricots","[,340,,341,,329,1000,,,43]","[14,,9,16,10,,4]","[121,,,9,,84,,18,123]"
43,44,sparkling raspberry seltzer,115,7,"red raspberry jam,raspberry fig bars,sparkling lemon seltzer water,sparkling,sparkling raspberry lemonade water beverage","[332,608,456,334,,44]","[19,,7,,7,,7,,7]","[,,3,115,,77,115,115]"
44,45,european cucumber,83,4,"cucumber witch hazel aloe vera,glycerine soap pure and natural cucumber,3 1 soap for every man cucumber lemon,european style spring,tzatziki cucumber","[320,152,,66,198,,45]","[11,11,,4,20,,4]","[,25,,25,123,,67,,83]"
45,46,raisin cinnamon bagels 5 count,58,1,"mini pre sliced bagels,cinnamon pop'ettes,poppy seed bagels,sliced onion bagels,ceylon cinnamon","[733,245,836,725,,46]","[19,,3,,3,13,,1]","[,61,,93,,93,104,,58]"
46,47,onion flavor roasted seaweed snack,66,6,"chips onion chipotle garlic,triple snack size,snack size candy,sliced onion bagels,snack bags","[227,630,836,274,,47]","[19,19,,3,17,,6]","[45,45,93,87,66]"
47,48,school glue washable no run,87,17,"yahrzeit light memorial candle,creamline wild,eco pac kamut puffs cereal,creations four,disinfectant spray cherry blossom pomegranate scent","[339,340,341,328,,48]","[16,14,,9,17,17]","[120,121,,,9,101,,87]"
48,49,vegetarian grain meat sausages italian 4 ct,14,20,"bread healthy grain,grain linguine pasta,refried beans vegetarian,vegetarian brown gravy,traditional lasagna meat savory italian recipes","[418,766,711,,36,,49]","[,9,,6,13,,1,20]","[131,,30,,,5,,38,,14]"
49,50,pumpkin muffin,105,13,"chilpotles adobo,sparkling raspberry lemonade water beverage,bolani pumpkin filled flatbread,coco joe pumpkin seeds,gluten muffin","[334,809,840,235,,50]","[,7,20,19,13,13]","[115,,13,117,105,105]"
50,51,sa extra hold mousse hair styling,22,11,"cat treats hair ball control,extra sharp cheddar,extra strength berry,rose apricot hair,medium to firm hold hair styling foam","[169,345,871,542,,51]","[16,,7,11,11,11]","[21,64,22,22,22]"
51,52,mirabelle brut rose,134,5,"raspberry fig bars,lemon gingersnap,black currant kombucha,rose apricot hair,brut rosã","[331,336,871,150,,52]","[19,,7,11,,5,,5]","[,61,,31,,22,134,134]"
52,53,leaf pure aloe lemon juice,98,7,"sensitive shave gel aloe,lemon gingersnap,peach aloe vera drink,chamomile lemon,grape leaf hummus wrap","[331,677,,97,109,,53]","[19,,7,,7,20,,7]","[61,98,94,13,98]"
53,54,24 7 performance cat litter,41,8,"brown rice formula cat food,sliced entree cat food,cat food premium adult cat formula,cookie dough performance energy,tidy cats 4 1 strength cat litter","[442,848,183,761,,54]","[,8,,8,19,,8,,8]","[41,41,,3,41,41]"
54,55,lasting color shampoo,22,11,"daily moisture shampoo,natural food color packets,red food color,advanced haircare color vibrancy nourishing shampoo,shampoo baby shampoo","[323,263,308,956,,55]","[13,13,11,18,11]","[,17,,97,,22,102,,22]"
55,56,healthy pop popcorn,23,19,"multigrain pop cakes,classic microwave popcorn,flavor pan popcorn,bread healthy grain,gluten boom chicka pop sweet spicy popcorn","[764,771,101,726,,56]","[19,19,,3,19,19]","[,23,,23,112,,23,,23]"
56,57,flat toothpicks,111,17,"raspberry fig bars,soap pure castile 18 1 hemp lavender,flat floss antiplaque naturally waxed spearmint,injera flat bread,toothpicks","[337,401,595,964,,57]","[11,11,,3,17,17]","[,25,,20,128,,87,111]"
57,58,wheat tortillas,128,3,"wheat loaves,wheat fig,fajita flour tortillas,flax oat bran wheat flour tortillas,100 wheat flour burrito tortillas","[457,705,653,737,,58]","[14,,3,,3,,3,,3]","[,48,128,128,128,128]"
58,59,medium taqueria style chipotle salsa,50,19,"hot tomatillo salsa,chipotle roasted garlic seasoning,style corn,salsa roja,tomatillo salsa","[922,664,589,546,,59]","[13,15,13,13,19]","[104,,81,,51,,51,,50]"
59,60,cheesy creations roasted garlic parmesan,9,9,"roasted garlic vinaigrette dressing,chipotle roasted garlic seasoning,garlic parmesan pita bread chips,creations four,roasted garlic pasta","[922,166,341,244,,60]","[13,19,,9,,9,,9]","[104,107,,,9,,,9,,,9]"
60,61,ramen noodles soup mushroom flavor,69,15,"pad thai rice noodles,porcini mushroom risotto,chow mein thin noodles,habanero lime shrimp flavor ramen noodle soup,hot spicy flavor ramen noodles","[685,450,173,126,,61]","[,9,,9,,9,,9,15]","[,4,,4,,4,,4,69]"
61,62,premium deli oven roasted turkey breast,96,20,"original turkey,breaded breast tenders,turkey,premium deli hard salami,smoked ham oven roasted turkey sub sandwich kit","[383,287,757,158,,62]","[,1,20,20,20,20]","[34,96,96,96,96]"
62,63,banana sweet potato teething wafers,92,18,"protein shake banana creme,mini nilla wafers munch pack,fingerling potato,banana chip,garnet sweet potato yam","[285,882,602,581,,63]","[19,,4,,1,,4,18]","[61,83,52,83,92]"
63,64,autumn vegetable turkey dinner lil' bits purees dinner,92,18,"3rd foods noodle dinner,spongebob shapes macaroni dinner,blakes parmesan dinner,deluxe made 2 macaroni dinner,turkey","[592,,81,326,287,,64]","[,9,,1,,9,20,18]","[,4,38,,4,96,92]"
64,65,red wine olive oil dressing,89,13,"town house sea salt olive oil flatbread crisps,imported italian solid light tuna pure olive oil,foldit flatbreads artisan rosemary olive oil,most wanted cabernet sauvignon red wine,malbec red wine","[259,660,479,567,,65]","[15,,3,,5,,5,13]","[,95,128,,28,,28,,89]"
65,66,european style spring,123,4,"pods spring meadow detergent stain remover brightener,complete spring water foaming antibacterial hand wash,spaghetti style pasta,style corn,european cucumber","[,27,,33,664,,45,,66]","[11,,9,15,,4,,4]","[127,131,,81,,83,123]"
66,67,jelly blackberry,88,13,"raspberry fig bars,lemon gingersnap,black currant kombucha,apricots,liquid drink blackberry lemonade","[,331,,336,1000,,385,,,67]","[19,,7,10,,7,13]","[61,31,18,90,88]"
67,68,pancake buttermilk,130,14,"apricots,light and fluffy pancake,sweet buttermilk powder,complete funfetti buttermilk pancake waffle,shake n pour buttermilk pancake","[565,395,745,994,,68]","[14,13,14,14,14]","[130,,17,130,130,130]"
68,69,iced coffee,26,7,"majestic roast ground coffee,blue bottle coffee frozen,100 columbian coffee,coffee liqueur,brisk lemon iced","[232,762,522,298,,69]","[1,7,5,7,7]","[,37,,26,124,,94,,26]"
69,70,sweet cooking rice seasoning,66,6,"chipotle roasted garlic seasoning,wild rice blend,original no stick cooking spray,rice vinegar,salt seasoning","[503,826,,95,463,,70]","[10,13,,6,13,,6]","[,68,,19,,66,104,,66]"
70,71,ultra 7 inch polypropylene traditional plates,111,17,"everyday mega pack paper plates,traditional water crackers,ultra thin pastrami,ultra filtered,traditional tartar","[145,403,877,562,,71]","[19,20,16,21,17]","[,78,,96,,84,100,111]"
71,72,honeycrisp apples,100,21,"eco pac kamut puffs cereal,creations four,grassmilk,apricots,dip sliced apples","[,341,,329,1000,,,89,,,72]","[,9,16,10,,4,21]","[,,9,,84,,18,123,100]"
72,73,jasmine unfiltered ginger ale,77,7,"lemon gingersnap,mixed 12 pack lion's share ale,born yesterday pale ale,saucy ginger mandarin dressing,ginger berry kombucha","[350,430,898,875,,73]","[,5,,5,13,,7,,7]","[27,27,89,31,77]"
73,74,artisan chick'n apple sausage,14,20,"apple green cups,pasteurized apple juice,premium apple juice,sausage gravy biscuit,artisan ciabatta","[792,935,688,155,,74]","[,7,,7,,1,,1,20]","[98,98,52,58,14]"
74,75,hemp protein,65,11,"caramel whey protein,brownie flavor protein,soap pure castile 18 1 hemp lavender,honey protein,protein","[387,337,445,406,,75]","[19,11,19,19,11]","[,3,25,,3,,3,65]"
75,76,spinach basil garlic linguini,12,9,"spicy tomato basil pasta,basil daly soap,authentic deep dish spinach garlic pizza,tomato paste basil oregano garlic flavor,spinach pesto","[333,250,534,813,,76]","[11,,1,15,,9,,9]","[25,79,81,,9,12]"
76,77,coconut chip energy,3,19,"cookie dough performance energy,coconut drink,banana chip,peanut chip,coconut","[670,602,883,920,,77]","[16,,1,19,16,19]","[,91,,52,,,3,120,,,3]"
77,78,nutter cookie bites go pak,61,19,"mint cookie crunch nutrition,decorating cookie icing,gluten sugar cookie,little bites snickerdoodle muffins,cookie sheets","[811,847,635,604,,78]","[13,13,19,17,19]","[,97,105,,61,,10,,61]"
78,79,wild albacore tuna no salt added,95,15,"all seasons salt,salt seasoning,albacore chunk white tuna water,fresh cut golden sweet no salt added kernel corn,sardines water salt added","[463,827,,29,425,,79]","[13,15,15,,6,15]","[104,,95,,81,,33,,95]"
79,80,french tarragon wine vinegar,19,13,"international cafe french,malbec red wine,french rolls,rice vinegar,french ice","[567,517,,95,276,,80]","[,5,,3,,6,,1,13]","[28,43,66,37,19]"
80,81,blakes parmesan dinner,38,1,"cheesy creations roasted garlic parmesan,garlic parmesan pita bread chips,deluxe made 2 macaroni dinner,autumn vegetable turkey dinner lil' bits purees dinner,shaved parmesan","[166,326,,64,226,,81]","[19,,9,18,16,,1]","[107,,,4,,92,,21,,38]"
81,82,all natural 100 apple juice,98,7,"100 natural string mozzarella,100 cranberry juice blend,apple sparkling juice beverage,pasteurized apple juice,premium apple juice","[806,618,792,935,,82]","[7,7,7,7,7]","[98,98,98,98,98]"
82,83,100 wheat pita bread,128,3,"wheat tortillas,100 wheat flour burrito tortillas,garlic parmesan pita bread chips,100 wheat rigatoni,thin sliced 100 wheat bread","[737,166,774,566,,83]","[,3,19,,9,,3,,3]","[128,107,131,112,128]"
83,84,lamb shank,7,12,"eco pac kamut puffs cereal,creations four,grassmilk,apricots,lamb rib chops","[,341,,329,1000,,194,,,84]","[,9,16,10,12,12]","[,,9,,84,,18,122,,,7]"
84,85,soppressata piccante,96,20,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,chilpotles adobo,apricots","[,341,,342,,330,1000,,,85]","[,9,,8,,6,10,20]","[,9,41,30,18,96]"
85,86,camilia single liquid doses,6,2,"ultra antibacterial dish liquid,liquid drink blackberry lemonade,single herbs ginkgo leaf dietary supplement,ibuprofen liquid gels,single classic canned meat","[385,170,455,834,,86]","[,7,11,11,15,,2]","[,90,,47,133,,59,,,6]"
86,87,classics earl grey,94,7,"eco pac kamut puffs cereal,creations four,chilpotles adobo,apricots,classics baby binks easter bunny","[,341,,330,1000,,417,,,87]","[,9,,6,10,21,,7]","[,,9,,30,,18,100,,94]"
87,88,probiotics high potency capsules,47,11,"high fiber tomato basil soup,vitamin d3 1000 i u vegetable capsules,fuel high protein shake,high protein light shake,probiotics women 50 wiser vegetarian capsules","[805,795,832,629,,88]","[11,11,11,11,11]","[47,65,65,70,47]"
88,89,dip sliced apples,123,4,"premium sliced bacon,sliced american,tzatziki greek dip,ranch veggie dip,honeycrisp apples","[769,353,147,,72,,89]","[16,20,20,21,,4]","[,21,,67,,67,100,123]"
89,90,smorz cereal,121,14,"wheat chex cereal,special k original cereal,multigrain peanut cereal,cheerios cereal,peanut cereal","[588,637,365,,34,,90]","[14,14,14,14,14]","[121,121,121,121,121]"
90,91,kind prenatal once daily,47,11,"purifying daily detox scrub,strong kind roasted jalapeno protein,geranium daily soap,daily moisture shampoo,prenatal one tablets","[324,586,498,645,,91]","[19,11,11,11,11]","[,3,25,22,47,47]"
91,92,meat the middle large rawhide chews,40,8,"graduates lil' entrees spiral pasta turkey meat green yellow beans,graduates lil' meals spaghetti rings meat,traditional lasagna meat savory italian recipes,vegetarian grain meat sausages italian 4 ct,single classic canned meat","[873,,36,,49,834,,92]","[18,,1,20,15,,8]","[92,38,14,59,40]"
92,93,uncured cracked pepper beef,23,19,"salame all natural uncured pepperoni,beef hot links beef smoked sausage chile peppers,uncured hard salami,uncured turkey bologna,chicago steak chop cracked pepper garlic blend","[,40,611,110,860,,93]","[12,20,21,13,19]","[106,,96,100,104,,23]"
93,94,blitz veggie smoothie mashups,92,18,"lowfat raspberry kefir probiotic cultured smoothie,freeze dried edamame veggie snack,mango peach carrot kickstart smoothie,veggie style mini corn dogs,ranch veggie dip","[508,552,325,147,,94]","[19,,1,,1,20,18]","[,50,116,,42,,67,,92]"
94,95,rice vinegar,66,6,"thin stackers brown rice salt,sweet cooking rice seasoning,french tarragon wine vinegar,wild rice blend,sherry reserve vinegar","[,70,,80,503,123,,95]","[,6,13,10,13,,6]","[66,19,68,19,66]"
95,96,sprinklez confetti fun toppings,97,13,"creations four,chilpotles adobo,apricots,original bite size candies natural artificial flavors fun size,fun size snacks","[,330,1000,,409,,623,,,96]","[,6,10,19,19,13]","[30,18,45,45,97]"
96,97,chamomile lemon,94,7,"lemon verbena soap,strawberry lemon ade,zero strawberry lemon,lemon gingersnap,smooth move chamomile laxative bags","[399,659,331,880,,97]","[,7,,7,19,,7,,7]","[,31,115,,61,,94,,94]"
97,98,2 yellow american,2,16,"graduates lil' entrees spiral pasta turkey meat green yellow beans,medium yellow thai curry,yellow cherry tomato,american slices,sliced american","[575,494,516,769,,98]","[13,,4,16,16,16]","[72,83,21,21,,2]"
98,99,local living lettuce,83,4,"creations four,complete health deboned meal and rice cat food,peeled baby carrots,apricots,living cilantro","[,342,,343,1000,,157,,,99]","[,8,,4,10,,4,,4]","[,41,123,,18,,16,,83]"
99,100,peanut strawberry jam sandwich,38,1,"peanut chip,peanut bars,peanut cereal,red raspberry jam,sandwich cookies","[985,,34,636,,,1,100]","[19,14,13,19,,1]","[,,3,121,,88,,61,,38]"
100,101,bread healthy grain,112,3,"grain linguine pasta,asiago bread,oatnut bread,sunflower bread,healthy pop popcorn","[856,889,346,,56,101]","[16,,3,,3,19,,3]","[,21,112,112,,23,112]"
101,102,danish cookies,61,19,"gluten all natural chip cookies,creamy danish blue wedge,sandwich cookies,ice cookies,sugar cookies","[545,,,1,431,576,102]","[16,19,,1,19,19]","[21,61,37,61,61]"
102,103,sprouted kale cracker,78,19,"honey maid graham cracker crumbs,apple spinach kale coconut water superjuice,cracker trio selected favorites,vegetable salad kit sweet kale,sprouted barley bread","[299,760,347,108,103]","[,7,19,,4,,3,19]","[,98,,78,123,112,,78]"
103,104,high fiber tomato basil soup,69,15,"basil daly soap,yellow cherry tomato,fiber blend,tomato paste basil oregano garlic flavor,spicy tomato basil pasta","[494,767,534,640,104]","[,4,,1,15,,9,15]","[,83,116,,81,,,9,,69]"
104,105,easy grab 9 x13 oblong glass bakeware,10,17,"creations four,chilpotles adobo,apricots,glass storage container green silicone protection,glass bottles","[,330,1000,,265,,839,,105]","[,6,10,17,,7,17]","[30,18,85,77,10]"
105,106,yummy tummy maple brown sugar instant oatmeal,92,18,"gluten oatmeal variety pack,gluten cereal coconut maple,sugar cookies,alcohol maple flavor,instant mashed potatoes","[211,576,526,278,106]","[14,19,13,,9,18]","[130,,61,104,,,4,,92]"
106,107,mild salsa divino,51,13,"hot tomatillo salsa,shredded mild cheddar,salsa roja,tomatillo salsa,mild el nino salsa","[781,589,546,188,107]","[16,13,13,20,13]","[21,51,51,67,51]"
107,108,sprouted barley bread,112,3,"light savory beef barley vegetable soup,oatnut bread,asiago bread,sunflower bread,sprouted kale cracker","[889,856,346,103,108]","[,3,16,,3,19,,3]","[112,,21,112,,78,112]"
108,109,grape leaf hummus wrap,13,20,"sparkling blush grape juice,cocktail time hummus,grape sunflower sunwiches,classic original hummus,hummus wrap","[687,961,544,453,109]","[20,20,20,20,20]","[67,13,67,13,13]"
109,110,uncured turkey bologna,100,21,"turkey burgers,turkey chili,original turkey,uncured hard salami,turkey","[554,176,611,287,110]","[20,20,20,20,21]","[,,1,,96,,96,,96,100]"
110,111,fabric softener geranium scent,75,17,"unstopables downy unstopables dreams wash scent booster fabric enhancer 13 2oz fabric enhancers,geranium daily soap,fabric softener dryer sheet gentle 200ct fabric enhancers,beach sage liquid fabric softener,mountain stream fabric softener","[586,368,434,843,111]","[11,17,17,17,17]","[25,75,75,75,75]"
111,112,hot tomatillo salsa,51,13,"mild el nino salsa,mild salsa divino,salsa roja,tapatio salsa picante hot tortilla chips,tomatillo salsa","[107,589,213,546,112]","[13,13,19,13,13]","[,51,,51,107,,51,,51]"
112,113,infant's blend probiotic,70,11,"pomegranate coconut sparkling probiotic drink,pain reliever and fever reducer cherry infant drops,mache blend,fiber blend,california blend","[759,389,767,634,113]","[11,,4,,1,,1,11]","[,11,123,116,116,,70]"
113,114,light savory beef barley vegetable soup,69,15,"sprouted barley bread,old fashioned vegetable beef soup,hearty garden vegetable soup,elmo vegetable soup,southwestern vegetable soup","[466,626,684,644,114]","[15,15,15,15,15]","[69,69,69,69,69]"
114,115,scooby doo flavored snacks,50,19,"annie's bunny snacks variety,orange flavored sports drink,island fruits snacks,fun size snacks,mint flavored syrup","[815,256,623,,16,115]","[,7,19,19,19,19]","[,64,,50,,45,103,,50]"
115,116,english muffins,93,3,"raspberry fig bars,lemon gingersnap,apricots,little bites snickerdoodle muffins,fudge brownies english walnuts","[,331,1000,,635,,622,,116]","[19,10,19,19,,3]","[61,18,61,61,93]"
116,117,petit suisse,2,16,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,117]","[,9,,8,16,10,16]","[,9,41,84,18,,2]"
117,118,ground turkey chub,34,1,"original turkey,chub mackerel,chub chorizo,85 lean 15 fat ground turkey 013021,turkey","[476,624,782,287,118]","[15,21,12,20,,1]","[,95,100,,49,,96,,34]"
118,119,chardonnay paso robles,62,5,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,119]","[,9,,8,16,10,,5]","[,9,41,84,18,62]"
119,120,cauliflower florettes,123,4,"eco pac kamut puffs cereal,creations four,complete health deboned meal and rice cat food,grassmilk,apricots","[,341,,342,,329,1000,,120]","[,9,,8,16,10,,4]","[,,9,,41,,84,,18,123]"
